MOLECULE_NAME,SMILES,logP
0,CCC1(NC(=O)N(C)C1=O)c1ccccc1,1.69
1,[H]N1C(=O)N(C(=O)C1(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],1.69
2,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,1.69
3,[H]OC1=NC(C(=O)N1C([H])([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])[H],1.69
4,CCC1(N=C(O)N(C)C1=O)C1=CC=CC=C1,1.69
5,CCN(CC)C(O)=C1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
6,[H]N1C([H])=C2C3=C(C([H])=C([H])C([H])=C13)C1([H])C([H])=C(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])C2([H])[H],2.95
7,CCN(CC)C(=O)C1=CC2[C@@H](CC3=CNC4=CC=CC2=C34)N(C)C1,2.95
8,CCN(CC)C(=O)C1=CC2C(CC3=CNC4=CC=CC2=C34)N(C)C1,2.95
9,[H]OC(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])=C1C([H])=C2C3=C4C(N([H])C([H])=C4C([H])([H])C2([H])N(C([H])([H])[H])C1([H])[H])=C([H])C([H])=C3[H],2.95
10,CCN(CC)C(O)=C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
11,[H]N1C([H])=C2C3=C(C([H])=C([H])C([H])=C13)C1=C([H])C([H])(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])C2([H])[H],2.95
12,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
13,CCN(CC)C(=O)C1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
14,CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N(CC)CC,2.95
15,CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,2.95
16,CN1CC(C=C2C1Cc1c[nH]c3cccc2c31)C(=O)N(CC)CC,2.95
17,O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)CO,-2.8
18,[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H],-2.8
19,OC(CO)C(O)C(O)C(O)CO,-2.8
20,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.8
21,OCC(O)C(O)C(O)C(O)CO,-2.8
22,OC[C@H](O)[C@H]1OC(=O)C(=O)C1O,-1.85
23,[H]OC1=C(OC(=O)C1([H])O[H])C([H])(O[H])C([H])([H])O[H],-1.85
24,OC[C@H](O)C1=C(O)C(O)C(=O)O1,-1.85
25,OCC(O)C1=C(O)C(O)C(=O)O1,-1.85
26,[H]OC1=C(O[H])C([H])(OC1=O)C([H])(O[H])C([H])([H])O[H],-1.85
27,O[C@@H](CO)[C@H]1OC(=O)C(=C1O)O,-1.85
28,O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,-1.85
29,OC(CO)C1OC(=O)C(O)=C1O,-1.85
30,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,-1.85
31,OCC(O)C1OC(=O)C(O)=C1O,-1.85
32,[H]OC([H])([H])C([H])(O[H])C1([H])OC(=O)C([H])(O[H])C1=O,-1.85
33,OC[C@H](O)[C@H]1OC(=O)C(O)C1=O,-1.85
34,OCC(O)C1OC(=O)C(O)C1=O,-1.85
35,[H]OC([H])([H])C([H])(O[H])C1([H])OC(=O)C(=O)C1([H])O[H],-1.85
36,OCC(O)C1OC(=O)C(=O)C1O,-1.85
37,Cc1ccc(C(O)=O)c(O)c1,2.99
38,CC1=CC=C(C(O)=O)C(O)=C1,2.99
39,[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1O[H])C([H])([H])[H],2.99
40,Cc1cc(O)c(cc1)C(=O)O,2.99
41,Cc1cc(O)c(cc1)C(O)=O,2.99
42,CC(=O)Nc1ccc(c(O)c1)C(=O)O,1.62
43,[H]OC(=C([H])[H])N([H])C1=C([H])C([H])=C(C(=O)O[H])C(O[H])=C1[H],1.62
44,OC(=C)NC1=CC=C(C(O)=O)C(O)=C1,1.62
45,[H]OC(=O)C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1O[H],1.62
46,CC(=O)NC1=CC=C(C(O)=O)C(O)=C1,1.62
47,CC(=O)Nc1ccc(c(O)c1)C(O)=O,1.62
48,[H]OC(=O)C1=C([H])C([H])=C(N=C(O[H])C([H])([H])[H])C([H])=C1O[H],1.62
49,CC(O)=NC1=CC=C(C(O)=O)C(O)=C1,1.62
50,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1,0.98
51,[H]OC([H])([H])C([H])(C(=O)OC1([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])(C1([H])[H])C1([H])OC21[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.98
52,CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,0.98
53,CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@H]21)OC(=O)[C@H](CO)c1ccccc1,0.98
54,CN1C2CC(CC1C1OC12)OC(=O)C(CO)c1ccccc1,0.98
55,CN1C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,0.98
56,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,0.98
57,NCCC1=CNC=N1,-0.7
58,[H]N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1,-0.7
59,[H]N([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H],-0.7
60,NCCC1=CN=CN1,-0.7
61,NCCc1c[n]c[nH]1,-0.7
62,NCCc1cnc[nH]1,-0.7
63,S=P(N1CC1)(N1CC1)N1CC1,0.53
64,[H]C1([H])N(C1([H])[H])P(=S)(N1C([H])([H])C1([H])[H])N1C([H])([H])C1([H])[H],0.53
65,c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,6.75
66,C1=CC2=C(C=C1)C1=CC3=C(C=C1C=C2)C1=C(C=CC=C1)C=C3,6.75
67,[H]C1=C([H])C2=C([H])C([H])=C3C([H])=C4C(C([H])=C([H])C5=C([H])C([H])=C([H])C([H])=C45)=C([H])C3=C2C([H])=C1[H],6.75
68,c1c2c3ccccc3ccc2cc2c3ccccc3ccc12,6.75
69,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.75
70,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(O)=O)C2=C1,4.27
71,[H]OC(O[H])=C([H])C1=C(N(C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C([H])([H])[H],4.27
72,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(C=C(O)O)C2=C1,4.27
73,[H]OC(=O)C([H])([H])C1=C(N(C(=O)C2=C([H])C([H])=C(Cl)C([H])=C2[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C([H])([H])[H],4.27
74,Cc1c(CC(=O)O)c2cc(ccc2n1C(=O)c1ccc(Cl)cc1)OC,4.27
75,Cc1c(CC(O)=O)c2cc(ccc2[n]1C(=O)c1ccc(Cl)cc1)OC,4.27
76,NC(=CC1=CNC2=CC=CC=C12)C(O)O,-1.055
77,[H]OC(O[H])=C(N([H])[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-1.055
78,NC(CC1=CNC2=CC=CC=C12)=C(O)O,-1.055
79,[H]OC([H])(O[H])C(N([H])[H])=C([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-1.055
80,[H]OC([H])(O[H])C(=N[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-1.055
81,OC(O)C(=N)CC1=CNC2=CC=CC=C12,-1.055
82,[H]OC(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])N([H])C2=C([H])C([H])=C([H])C([H])=C12,-1.055
83,NC(CC1=CNC2=CC=CC=C12)C(O)=O,-1.055
84,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.055
85,NC(Cc1c[nH]c2ccccc21)C(O)=O,-1.055
86,CCOC(=O)C1(CCN(C)CC1)c1ccccc1,2.72
87,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,2.72
88,[H]C1=C([H])C([H])=C(C([H])=C1[H])C1(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],2.72
89,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,3.21
90,[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],3.21
91,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,3.21
92,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,3.21
93,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
94,[H]C1=NC2=C(N1C([H])([H])[H])C(=O)N(C(=O)N2C([H])([H])[H])C([H])([H])[H],-0.07
95,CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,-0.07
96,CN1c2ncn(C)c2C(=O)N(C)C1=O,-0.07
