MOLECULE_NAME,SMILES,PPB
103163765,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,96
103163904,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,34.42
103164240,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,87.87
103164254,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,79.55
103164270,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,55.73
103164301,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,99.91
103164353,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,98.61
103164483,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C,99.81
103164546,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,87.11
103164619,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,96.26
103164634,CC(C)[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2N1C)CO,62.94
103164678,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,92.32
103164817,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,66.1
103164872,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,75.97
103164917,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,99.19
103164936,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,27.55
103165317,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,62.4
103165320,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,30.88
103165561,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,71.99
103165562,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,98.37
103165594,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,92.64
103165728,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,95.72
103165765,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,94.79
103165766,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,86.85
103165858,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,88.59
103165869,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,60.77
103165933,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,97.71
103165982,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,91.28
103166413,COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F,99.83
103166433,C1C(N=C(C2=C1C=CC(=C2)F)N)C3=CC=C(C=C3)F,67.12
103166445,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,99.77
