MOLECULE_NAME,SMILES,log_fu
103163765,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,-1.397940009
103163904,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,-0.183228588
103164240,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,-0.916139199
103164254,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,-0.689306688
103164270,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,-0.353890478
103164301,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,-3.045757491
103164353,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,-1.8569852
103164483,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C,-2.721246399
103164546,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,-0.889747083
103164619,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,-1.427128398
103164634,CC(C)[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2N1C)CO,-0.431094585
103164678,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,-1.11463878
103164817,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,-0.469800302
103164872,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,-0.619246229
103164917,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,-2.091514981
103164936,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,-0.13996161
103165317,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,-0.424812155
103165320,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,-0.160396271
103165561,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,-0.552686891
103165562,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,-1.787812396
103165594,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,-1.133122186
103165728,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,-1.368556231
103165765,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,-1.283162277
103165766,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,-0.881074247
103165858,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,-0.942714356
103165869,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,-0.406381692
103165933,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,-1.640164518
103165982,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,-1.059483515
103166413,COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F,-2.769551079
103166433,C1C(N=C(C2=C1C=CC(=C2)F)N)C3=CC=C(C=C3)F,-0.483068191
103166445,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,-2.638272164
103166476,C1C(N=C(C2=CC=CC=C21)N)C3=CC=C(C=C3)F,-0.443818153
103166970,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,-0.650139918
103167043,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,-1.014124643
103167216,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,-0.838033384
103167682,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,-0.253910957
103167993,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,-0.960585881
103168087,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl,-1.096367484
103168167,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,-0.762456262
103168790,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,-2.920818754
103168841,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,-0.469800302
103169151,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,-2.431798276
103169156,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-1.795880017
103169165,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,-0.376647318
103169185,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,-0.101439355
103169389,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,-1.866461092
103169414,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,-0.829444941
103169913,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,-0.119357874
103170049,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,-2.301029996
103170825,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,-0.812479279
103170845,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,-0.154281982
103171472,C1CNP(=O)(OC1)N(CCCl)CCCl,-0.097344525
103171565,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,-1.397940009
103172304,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,-0.332080315
103172342,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,-0.978397284
103173037,CC(C)NC[C@H](COC1=CC=CC2=CC=CC=C21)O,-0.754240644
103173303,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,-0.394264106
103173995,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,-0.176460566
103175617,CC1=C(NC(=C1C(=O)NCCN(C)C)C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O,-0.762456262
103175627,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,-0.978397284
103175631,CC(C)(C(=O)N[C@H](COCC1=CC=CC=C1)C(=O)N2CCC3(CC2)CN(C4=CC=CC=C34)S(=O)(=O)C)N,-0.634699251
103176475,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,-0.06666459
103176908,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,-1.142667504
103177051,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,-0.394264106
103177459,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,-1.378823718
103177479,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,-2.585026652
103177556,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F,-1.11463878
103177753,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-0.531357332
103178542,CC1=C(C(=CC=C1)C)OCC(C)N,-0.197431502
103178920,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,-0.996108834
103178971,CC(=O)NC1=CC=C(C=C1)O,-0.134540677
103178995,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.121765531
103179006,CCOC1=CC=C(C=C1)NC(=O)C,-0.186685941
103179008,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,-1.826813732
103179009,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,-1.416801226
103179087,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-1.896196279
103179145,C1=CC(=CN=C1)C(=O)O,-0.258375742
103179427,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,-1.142667504
