MOLECULE_NAME,SMILES,Bound_per_MW
103163765,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,0.250386012
103163904,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0.103879015
103164240,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.313356989
103164254,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,0.217443596
103164270,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,0.183749707
103164301,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,0.226271603
103164353,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.34630864
103164483,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C,0.254906718
103164546,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0.345300528
103164619,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.305723179
103164634,CC(C)[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2N1C)CO,0.239905776
103164678,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,0.427027827
103164817,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.227677449
103164872,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,0.183269124
103164917,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,0.243408056
103164936,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,0.08961273
103165317,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,0.190005237
103165320,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,0.07692346
103165561,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,0.241784077
103165562,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0.297415865
103165594,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0.372471524
103165728,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.309441989
103165765,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,0.290027568
103165766,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,0.329746682
103165858,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,0.221493827
103165869,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,0.268565822
103165933,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,0.325959681
103165982,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,0.341476189
103166413,COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F,0.277532207
103166433,C1C(N=C(C2=C1C=CC(=C2)F)N)C3=CC=C(C=C3)F,0.259882062
103166445,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,0.398541172
103166476,C1C(N=C(C2=CC=CC=C21)N)C3=CC=C(C=C3)F,0.266396428
103166970,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,0.20134263
103167043,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,0.228407269
103167216,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,0.227418449
103167682,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,0.166238584
103167993,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,0.256449393
103168087,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl,0.319642795
103168167,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,0.300419832
103168790,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0.202180914
103168841,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,0.149691445
103169151,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.268843753
103169156,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,0.266400988
103169165,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,0.098842828
103169185,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,0.072999863
103169389,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.309339455
103169414,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.319796688
103169913,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,0.068381662
103170049,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,0.210095567
103170825,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,0.206093648
103170845,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,0.09973249
103171472,C1CNP(=O)(OC1)N(CCCl)CCCl,0.07690864
103171565,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,0.346889736
103172304,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,0.269583243
103172342,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,0.235810277
103173037,CC(C)NC[C@H](COC1=CC=CC2=CC=CC=C21)O,0.317680037
103173303,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,0.230033969
103173995,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,0.09835544
103175617,CC1=C(NC(=C1C(=O)NCCN(C)C)C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O,0.223309253
103175627,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,0.215671295
103175631,CC(C)(C(=O)N[C@H](COCC1=CC=CC=C1)C(=O)N2CCC3(CC2)CN(C4=CC=CC=C34)S(=O)(=O)C)N,0.145287748
