MOLECULE_NAME,SMILES,Dielectric_Constant
proline,OC(=O)[C@@H]1CCCN1,100
terephthalic_acid,OC(=O)c1ccc(cc1)C(O)=O,100
cbn,ClCC#CCOC(=O)Nc1cccc(Cl)c1,97
at_1420,Cc1ccc(cc1C[C@H](N)C(O)=O)N(CCCl)CCCl,96.5
ethylene_carbonate,O=C1OCCO1,89.6
cyclopentene,C1CC=CC1,85.5
diisopropylammonium_bromide,[Br-].CC(C)[NH2+]C(C)C,85
tmb,Cc1cc(cc(C)c1N)c2cc(C)c(N)c(C)c2,80.4
scopoletin,COc1cc2C=CC(=O)Oc2cc1O,80.16
thc,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,80.1
ammp,COc1ccc(Cc2cc(N)nc(OC)n2)cc1,80
cysteine–arginine,N[C@@H](CS)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O,80
phenolate,[O-]c1ccccc1,80
ron,CCC[C@H](N)C(O)=O,80
hepes,OCCN1CCN(CC1)CC[S](O)(=O)=O,79
histidine,N[C@@H](Cc1c[nH]cn1)C(O)=O,78.5
rhodamine,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,78.5
tabun,CCO[P](=O)(C#N)N(C)C,78.4
barone,[Na+].CN(C[S]([O-])(=O)=O)C1=C(C)N(C)N(C1=O)c2ccccc2,78.39
bicalutamide,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,78.39
ketoconazole,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,78.36
4-ap,Nc1ccncc1,78.3
cyclone,O=C1C(=C(c2ccccc2)C(=C1c3ccccc3)c4ccccc4)c5ccccc5,78
n-methyl-oxazolidinone,CN1CCOC1=O,78
oxadiazole,o1ccnn1,78
thionine,s1cccccccc1,78
sodium_carboxymethyl_cellulose,[Na].CC(O)=O.OCC(O)C(O)C(O)C(O)C=O,77.7
tea,OCCN(CCO)CCO,77.66
3-methyloxazolidin-2-one,CN1CCOC1=O,77.5
dam,CC(=O)C(/C)=N/O,76.37
tam,NC(CCO)(CCO)CCO,76.31
2-methyl-2_4-pentanediol,CC(O)CC(C)(C)O,75
mai,C[C@@H](O)[C@@H](N)CCCN=C(N)N,75
maltose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,73.785
cerebro,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,72.73
trehalose,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,72
dopamine,NCCc1ccc(O)c(O)c1,71.9
prc,Cc1ccc(NC(=O)c2cccnc2)cc1Nc3nccc(n3)c4cccnc4,69
gly,NCC(O)=O,67.6
butanamide,CCCC(N)=O,66.758
lysine,NCCCC[C@H](N)C(O)=O,66
brij_35,CCCCCCCCCCCCOCCO,65
propylene_carbonate,CC1COC(=O)O1,64.92
polyn-isopropylacrylamide,CC(C)NC(=O)C=C,63
defi,CCCN(CCC)C(=O)SCc1ccccc1,61
dimethylthianthrene,Cc1ccc2Sc3ccccc3Sc2c1C,60
quinoxaline,c1ccc2nccnc2c1,60
acetamide,CC(N)=O,59
pyridazine,c1ccnnc1,58.75
4_pa,OC(=O)CCC=C,58.5
spirolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,57
mea,NCCS,55.04
nile_red,CCN(CC)c1ccc2N=C3C(=CC(=O)c4ccccc34)Oc2c1,55
1_2-butylene_carbonate,CCC1COC(=O)O1,54.45
butylene_carbonate,O=C1OCCCCO1,53
tz,s1ccnc1,53
dhap,OCC(=O)CO[P](O)(O)=O,52.7
lno,CC(C)C[C@H](N)C(=O)NO,52.5
alamine_336,CCCCCCCCN(CCCCCCCC)CCCCCCCC,50.554
2-fluorophenyl2-nitrophenyl_ether,[O-][N+](=O)c1c(Oc2cccc(c3ccccc3F)c2[N+]([O-])=O)cccc1c4ccccc4F,50
2-fluorophenyl_2-nitrophenyl_ether,[O-][N+](=O)c1ccccc1Oc2ccccc2F,50
tetraethylammonium_tetrafluoroborate,CC[N+](CC)(CC)CC.F[B-](F)(F)F,50
desal,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,47.5
2-furoylfluoride_dimethylsulfoxide,C[S](C)=O.FC(=O)c1occc1,46.7
abt,Nn1nnc2ccccc12,46.5
ald,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,46.5
diclofenac_sodium,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,46
sulfolan,O=[S]1(=O)CCCC1,43.65
diethanolamine,OCCNCCO,43.55
di-n-propylammonium_thiocyanate,CCC[NH2+]CCC.[S-]C#N,43.3
sulfolane,O=[S]1(=O)CCCC1,43.3
sulpholane,O=[S]1(=O)CCCC1,43.3
ethylene_glycerol,OCC(O)CO.C=C,42.5
glycerine,OCC(O)CO,42.5
glycerol,OCC(O)CO,42.5
carboxylate,CCCCCCCCCC1C[C@@H]2CC[C@H]3[C@H]([C@@H](C)N=C(N1)N23)C(=O)OC(C)CCCCC[C@@H]4C[C@@H]5CC[C@H]6C[C@@H](C)NC(=N4)N56,42.01
aa267,NC(CCO)c1ccc2ccccc2c1,42
eg,OCCO,41.4
ethylenglycol,OCCO,41.4
glycol,OCCO,41.2
2-oxazolidinone,O=C1NCCO1,41
ethyl_pyruvate,CCOC(=O)C(C)=O,41
furfural,O=Cc1occc1,41
ethane-1_2-diol,OCCO,40.7
1_2_3-triazole,[nH]1ccnn1,40.5
tetraethyleneglycol,OCCOCCOCCOCCO,40.2
meg,[Br-].NC([NH3+])=NCCS,40.05
1-butyl-3-methylimidazolium,CCCC[n+]1ccn(C)c1,40
stilbene,c1ccc(cc1)C=Cc2ccccc2,40
butyrolactone,O=C1CCCO1,39.98
gbl,O=C1CCCO1,39
ethane-1_2_diol,OCCO,38.66
ethyleneglycol,OCCO,38.335
1_2-ethanediol,OCCO,37.7
ethylene_glycol,OCCO,37.7
mono_ethylene_glycol,OCCO,37.7
dmi,CNCCCN1c2ccccc2CCc3ccccc13,37.6
acetonitril,CC#N,37.5
ethanenitrile,CC#N,37.5
mecn,CC#N,37.5
lys,NCCCCC(N)C(O)=O,37.45
edta,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,37.2
ch3cn,CCN,37
glutaronitrile,N#CCCCC#N,37
triethyleneglycol,OCCOCCOCCO,36.7
acetonitrile,CC#N,36.64
acn,CC#N,36.64
dmpu,OCN1CCCN(CO)C1=O,36.1
sec-butylammonium_thiocyanate,CCC(C)[NH3+].[S-]C#N,36.1
cyclohexane_acetone,CC(C)=O.C1CCCCC1,36.001
3-methoxy-propionitrile,COCCC#N,36
3-methoxypropionitrile,COCCC#N,36
abts,[NH4+].[NH4+].CCN1/C(Sc2cc(ccc12)[S]([O-])(=O)=O)=N/N=C/3Sc4cc(ccc4N3CC)[S]([O-])(=O)=O,36
cetylpyridinium_chloride,[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,36
citric_acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,36
gga,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,36
methoxyacetonitrile,COCC#N,36
1_4-dihydroxy-2-butanone,OCCC(=O)CO,35.59
1_3-propanediol,OCCCO,35
4am,CC(=O)N[C@@H]1[C@@H](N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,35
nitrobenzene,[O-][N+](=O)c1ccccc1,34.8
propane-1_3-diol,OCCCO,34.69
1-naphthol,Oc1cccc2ccccc12,34.31
ethylammonium_formate,CC[NH3+].[O-]C=O,34.14
1_2_3-butanetriol,CC(O)C(O)CO,34.1
diglycerol,OCC(O)COCC(O)CO,34
