MOLECULE_NAME,SMILES,logEpsilon
proline,OC(=O)[C@@H]1CCCN1,2
terephthalic_acid,OC(=O)c1ccc(cc1)C(O)=O,2
cbn,ClCC#CCOC(=O)Nc1cccc(Cl)c1,1.986771734
at_1420,Cc1ccc(cc1C[C@H](N)C(O)=O)N(CCCl)CCCl,1.984527313
ethylene_carbonate,O=C1OCCO1,1.95230801
cyclopentene,C1CC=CC1,1.931966115
diisopropylammonium_bromide,[Br-].CC(C)[NH2+]C(C)C,1.929418926
tmb,Cc1cc(cc(C)c1N)c2cc(C)c(N)c(C)c2,1.905256049
scopoletin,COc1cc2C=CC(=O)Oc2cc1O,1.903957709
thc,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,1.903632516
ammp,COc1ccc(Cc2cc(N)nc(OC)n2)cc1,1.903089987
cysteine–arginine,N[C@@H](CS)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O,1.903089987
phenolate,[O-]c1ccccc1,1.903089987
ron,CCC[C@H](N)C(O)=O,1.903089987
hepes,OCCN1CCN(CC1)CC[S](O)(=O)=O,1.897627091
histidine,N[C@@H](Cc1c[nH]cn1)C(O)=O,1.894869657
rhodamine,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,1.894869657
tabun,CCO[P](=O)(C#N)N(C)C,1.894316063
barone,[Na+].CN(C[S]([O-])(=O)=O)C1=C(C)N(C)N(C1=O)c2ccccc2,1.894260664
bicalutamide,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,1.894260664
ketoconazole,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,1.894094427
4-ap,Nc1ccncc1,1.893761762
cyclone,O=C1C(=C(c2ccccc2)C(=C1c3ccccc3)c4ccccc4)c5ccccc5,1.892094603
n-methyl-oxazolidinone,CN1CCOC1=O,1.892094603
oxadiazole,o1ccnn1,1.892094603
thionine,s1cccccccc1,1.892094603
sodium_carboxymethyl_cellulose,[Na].CC(O)=O.OCC(O)C(O)C(O)C(O)C=O,1.890421019
tea,OCCN(CCO)CCO,1.890197386
3-methyloxazolidin-2-one,CN1CCOC1=O,1.889301703
dam,CC(=O)C(/C)=N/O,1.882922791
tam,NC(CCO)(CCO)CCO,1.882581454
2-methyl-2_4-pentanediol,CC(O)CC(C)(C)O,1.875061263
mai,C[C@@H](O)[C@@H](N)CCCN=C(N)N,1.875061263
maltose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1.867968082
cerebro,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1.861713588
trehalose,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1.857332496
