MOLECULE_NAME,SMILES,logEpsilon_minus_1
proline,OC(=O)[C@@H]1CCCN1,1.995635195
terephthalic_acid,OC(=O)c1ccc(cc1)C(O)=O,1.995635195
cbn,ClCC#CCOC(=O)Nc1cccc(Cl)c1,1.982271233
at_1420,Cc1ccc(cc1C[C@H](N)C(O)=O)N(CCCl)CCCl,1.980003372
ethylene_carbonate,O=C1OCCO1,1.947433722
cyclopentene,C1CC=CC1,1.926856709
diisopropylammonium_bromide,[Br-].CC(C)[NH2+]C(C)C,1.924279286
tmb,Cc1cc(cc(C)c1N)c2cc(C)c(N)c(C)c2,1.899820502
scopoletin,COc1cc2C=CC(=O)Oc2cc1O,1.898505786
thc,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,1.898176483
ammp,COc1ccc(Cc2cc(N)nc(OC)n2)cc1,1.897627091
cysteine–arginine,N[C@@H](CS)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O,1.897627091
phenolate,[O-]c1ccccc1,1.897627091
ron,CCC[C@H](N)C(O)=O,1.897627091
hepes,OCCN1CCN(CC1)CC[S](O)(=O)=O,1.892094603
histidine,N[C@@H](Cc1c[nH]cn1)C(O)=O,1.889301703
rhodamine,[Cl-].CCN(CC)c1ccc2c(c1)[o+]c3cc(ccc3c2c4ccccc4C(O)=O)N(CC)CC,1.889301703
tabun,CCO[P](=O)(C#N)N(C)C,1.888740961
barone,[Na+].CN(C[S]([O-])(=O)=O)C1=C(C)N(C)N(C1=O)c2ccccc2,1.888684847
bicalutamide,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,1.888684847
ketoconazole,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,1.888516461
4-ap,Nc1ccncc1,1.888179494
cyclone,O=C1C(=C(c2ccccc2)C(=C1c3ccccc3)c4ccccc4)c5ccccc5,1.886490725
n-methyl-oxazolidinone,CN1CCOC1=O,1.886490725
oxadiazole,o1ccnn1,1.886490725
thionine,s1cccccccc1,1.886490725
sodium_carboxymethyl_cellulose,[Na].CC(O)=O.OCC(O)C(O)C(O)C(O)C=O,1.884795364
tea,OCCN(CCO)CCO,1.884568815
3-methyloxazolidin-2-one,CN1CCOC1=O,1.883661435
dam,CC(=O)C(/C)=N/O,1.877198515
tam,NC(CCO)(CCO)CCO,1.876852648
2-methyl-2_4-pentanediol,CC(O)CC(C)(C)O,1.86923172
mai,C[C@@H](O)[C@@H](N)CCCN=C(N)N,1.86923172
maltose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,1.862041886
cerebro,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1.855700831
trehalose,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1.851258349
dopamine,NCCc1ccc(O)c(O)c1,1.850646235
prc,Cc1ccc(NC(=O)c2cccnc2)cc1Nc3nccc(n3)c4cccnc4,1.832508913
gly,NCC(O)=O,1.823474229
butanamide,CCCC(N)=O,1.817948596
lysine,NCCCC[C@H](N)C(O)=O,1.812913357
brij_35,CCCCCCCCCCCCOCCO,1.806179974
propylene_carbonate,CC1COC(=O)O1,1.805636766
polyn-isopropylacrylamide,CC(C)NC(=O)C=C,1.792391689
defi,CCCN(CCC)C(=O)SCc1ccccc1,1.77815125
dimethylthianthrene,Cc1ccc2Sc3ccccc3Sc2c1C,1.770852012
quinoxaline,c1ccc2nccnc2c1,1.770852012
acetamide,CC(N)=O,1.763427994
pyridazine,c1ccnnc1,1.761551989
4_pa,OC(=O)CCC=C,1.759667845
spirolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,1.748188027
mea,NCCS,1.73271534
nile_red,CCN(CC)c1ccc2N=C3C(=CC(=O)c4ccccc34)Oc2c1,1.73239376
1_2-butylene_carbonate,CCC1COC(=O)O1,1.72794771
butylene_carbonate,O=C1OCCCCO1,1.716003344
tz,s1ccnc1,1.716003344
dhap,OCC(=O)CO[P](O)(O)=O,1.713490543
lno,CC(C)C[C@H](N)C(=O)NO,1.711807229
alamine_336,CCCCCCCCN(CCCCCCCC)CCCCCCCC,1.695078716
2-fluorophenyl2-nitrophenyl_ether,[O-][N+](=O)c1c(Oc2cccc(c3ccccc3F)c2[N+]([O-])=O)cccc1c4ccccc4F,1.69019608
2-fluorophenyl_2-nitrophenyl_ether,[O-][N+](=O)c1ccccc1Oc2ccccc2F,1.69019608
tetraethylammonium_tetrafluoroborate,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.69019608
desal,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,1.667452953
2-furoylfluoride_dimethylsulfoxide,C[S](C)=O.FC(=O)c1occc1,1.6599162
abt,Nn1nnc2ccccc12,1.658011397
ald,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1.658011397
diclofenac_sodium,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,1.653212514
sulfolan,O=[S]1(=O)CCCC1,1.629919036
diethanolamine,OCCNCCO,1.628899564
di-n-propylammonium_thiocyanate,CCC[NH2+]CCC.[S-]C#N,1.626340367
sulfolane,O=[S]1(=O)CCCC1,1.626340367
sulpholane,O=[S]1(=O)CCCC1,1.626340367
ethylene_glycerol,OCC(O)CO.C=C,1.618048097
glycerine,OCC(O)CO,1.618048097
glycerol,OCC(O)CO,1.618048097
carboxylate,CCCCCCCCCC1C[C@@H]2CC[C@H]3[C@H]([C@@H](C)N=C(N1)N23)C(=O)OC(C)CCCCC[C@@H]4C[C@@H]5CC[C@H]6C[C@@H](C)NC(=N4)N56,1.612889769
aa267,NC(CCO)c1ccc2ccccc2c1,1.612783857
eg,OCCO,1.606381365
ethylenglycol,OCCO,1.606381365
glycol,OCCO,1.604226053
2-oxazolidinone,O=C1NCCO1,1.602059991
ethyl_pyruvate,CCOC(=O)C(C)=O,1.602059991
furfural,O=Cc1occc1,1.602059991
ethane-1_2-diol,OCCO,1.598790507
1_2_3-triazole,[nH]1ccnn1,1.596597096
tetraethyleneglycol,OCCOCCOCCOCCO,1.593286067
meg,[Br-].NC([NH3+])=NCCS,1.591621038
1-butyl-3-methylimidazolium,CCCC[n+]1ccn(C)c1,1.591064607
stilbene,c1ccc(cc1)C=Cc2ccccc2,1.591064607
butyrolactone,O=C1CCCO1,1.590841835
gbl,O=C1CCCO1,1.579783597
ethane-1_2_diol,OCCO,1.575880316
ethyleneglycol,OCCO,1.572116156
1_2-ethanediol,OCCO,1.564666064
ethylene_glycol,OCCO,1.564666064
mono_ethylene_glycol,OCCO,1.564666064
dmi,CNCCCN1c2ccccc2CCc3ccccc13,1.563481085
acetonitril,CC#N,1.562292864
ethanenitrile,CC#N,1.562292864
mecn,CC#N,1.562292864
lys,NCCCCC(N)C(O)=O,1.561697533
edta,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1.558708571
