MOLECULE_NAME,SMILES,Pampa_per_MW
2466,CCCCOC1=CC=C(C=C1)CC(=O)NO,0.596044287
1259573,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,0.023879626
1275864,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,2.618098557
2030130,CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5,1.142380541
4422695,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3,0.053189678
1131802,COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4,1.400966567
759785,CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N,0.187177317
2886111,CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3,1.624934612
1489415,C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F,0.50825501
1075912,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,0.022661489
16682542,CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N,1.263684104
4880352,C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4,0.829328609
1955100,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O,0.02768447
6461311,C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,0.39551035
16397347,CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C,0.008344271
741756,CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3,0.356915104
23604753,CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4,0.688628835
434973,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,0.048470176
277845,C1CCC(=O)C2=CC(=C(C=C2C1)O)O,0.108941076
3234914,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,1.124626615
3235557,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,0.004256599
256519,CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C,0.12746547
92180,CC(=CCNC1=NC=NC2=C1NC=N2)C,0.266421975
269325,CC1=NC(=NC2=CC=CC=C12)N,0.437836072
3246430,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N,0.011229583
3246541,CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,0.386072732
67532,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,0.010738002
9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,2.158622667
53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,0.115663272
3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,0.006263227
53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,0.224529697
5034,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,0.288475197
3825,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.005741589
262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,0.347362724
5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,0.419404763
4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,0.954290242
24360,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,0.196091377
9681,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,1.120560393
126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.011860569
6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0.004831728
6604934,CC1(C2=C(C3=CC=CC=C3C(=O)C2=O)NC1=O)C,0.051648525
