MOLECULE_NAME;SMILES;Permeability
2466;CCCCOC1=CC=C(C=C1)CC(=O)NO;133.08
1259573;COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC;7.34
1275864;COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3;970.77
2030130;CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5;440.35
4422695;CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3;23.43
1131802;COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4;530.2
759785;CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N;44.23
2886111;CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3;580.88
1489415;C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F;147.52
1075912;C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O;8.62
16682542;CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N;460.58
4880352;C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4;289.75
1955100;CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O;12.14
6461311;C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O;117.2
16397347;CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C;4.52
741756;CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3;105.78
23604753;CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4;206.84
434973;CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O;19.46
277845;C1CCC(=O)C2=CC(=C(C=C2C1)O)O;20.94
3234914;CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3;354.66
3235557;CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O;1.5
256519;CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C;43.9
92180;CC(=CCNC1=NC=NC2=C1NC=N2)C;54.15
269325;CC1=NC(=NC2=CC=CC=C12)N;69.7
3246430;C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N;2.99
3246541;CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC;217.23
67532;C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N;3.64
9363;CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC;481.96
53708;CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC;28.72
3343;CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O;1.9
53276;CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N;68.33
5034;C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2;150.28
3825;CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O;1.46
262093;C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO;107.82
5280445;C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O;120.05
4030;COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3;281.8
24360;CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O;68.31
9681;CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C;396.08
126941;CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O;5.39
6167;CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC;1.93
6604934;CC1(C2=C(C3=CC=CC=C3C(=O)C2=O)NC1=O)C;12.46
654450;C1=COC(=C1)CNC(=O)C2=NN3C(=CC(=NC3=N2)C4=CC=CS4)C(F)(F)F;256.84
651756;COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=C(C=C4)F;63
2120761;C1CN(CCN1C2=CC=C(C=C2)O)C(=O)C3=CC4=CC=CC=C4C=C3;526.69
2120852;C1COCCN1C2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=NNC(=O)C4=CC=CC=C43;53.47
699459;C1=CC=NC(=C1)S(=O)(=O)C2=CC=C(C=C2)Cl;407.27
3237670;CCCCCN1C(=O)C2=C(C=C(C=C2)C(=O)NCCCN3CCCCC3)NC1=O;27.5
3239035;COC1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3)C(=O)NCCCN4CCCCC4)NC2=O;16.8
68261;C1CC2=NC3=CC=CC=C3C(=O)N2C1;44.23
3243406;CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CS(=O)CC(=O)N3CCC4(CC3)OCCO4;91.69
1305820;CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=NN=C(S3)COC4=CC=C(C=C4)Cl;246.58
1245328;C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3F;139.01
2958396;C1OC2=C(O1)C=C(C=C2)C3NN4C(=NN=C4S3)C5=CC=CC=C5;607.22
1079729;COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3;35.8
664662;COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=CC=C4;759.89
3245031;COCCNC(=O)C1=CC=C(C=C1)CN2C(=O)C3=CC4=C(C=C3NC2=S)OCO4;108.36
3237063;CC1=CC=CC=C1C2=NC(=C(O2)C)CN3CCC(CC3)C(=O)NCCCN4CCOCC4;432.42
790407;C1=CC(=CN=C1)NC(=O)C2=CC=CS2;56.54
6603237;CCCC1=C(C(=N)C2=CC=CC=C2N1C)CC.I;6.67
3237082;CC1=CC=CC=C1NC(=O)NC2=CC=CS2;105.65
5289419;COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3;219.78
4059;CC1=CC=CC=C1OCC(CO)O;44.42
15991160;C1=CC(=CC(=C1)Cl)C2=CC=C(O2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CN=CC=C5;310.12
721046;CC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NC4=CC=CC(=C4)C(=O)O;13.19
3417885;C1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)NS(=O)(=O)C4=CC=CC=C4)C5=CC=C(C=C5)Cl;9.09
6407314;CC(=O)NC1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)OCC#C;501.59
3571741;CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)NCC4=CN(N=C4)C;24.2
2947897;CC1=NN=C(S1)N2C(C3=C(C2=O)OC4=CC=CC=C4C3=O)C5=CC=C(C=C5)F;313.86
2982228;CC1=CC2=C(C=C1)N=C(O2)C3=C(C=CC(=C3)NC(=O)C4=CC5=C(C=C4)OCCO5)Cl;144.17
15988552;CC1(CC2=C(C=C(C(=O)N2C3=C(C=CC(=C3)OC)OC)C4=NC(=CS4)C5=CC=C(C=C5)Cl)C(=O)C1)C;216.35
15990222;CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)N4CCN(CC4)S(=O)(=O)C;209.13
15990397;CN1C2=CC=CC=C2N=C(C1=O)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC;144.97
15990859;CCOC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)Br;926.29
2151568;COC1=CC=C(C=C1)C2=NC3=C(CC4=CC=CC=C4O3)C(=N2)SCC(=O)NC5=CC=C(C=C5)C(=O)O;1.18
16010509;CC(=O)N1CCC2=C(C1)SC3=C2C(=O)N(C(=O)N3CC(=O)C4=CC=CC=C4)C5=CC=CC=C5;713.66
16015034;CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2C(C)C)C=CC(=C3)NC(=O)CC(C)C;612.67
16017615;COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N3CCOCC3;19.19
16017851;CC1=NN=C2N1C3=CC=CC=C3N=C2NC4=CC(=CC=C4)NC(=O)C;265.61
16022683;CC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)OC)C(=O)O)CNCC4=CC=CO4;653.67
16023553;COCCNC1=C2C(=NOC2=NC=N1)C3=CC=C(C=C3)F;458.15
16025678;CC(C)(C)C1=CC=C(C=C1)C2=NC3=CC(=O)NN3C(=N2)SCCCOC4=CC=CC=C4;10.1
16025693;CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)OC;382.73
16025942;CC1=C(N=NN1C2=CC=CC=C2C(F)(F)F)C3=NSC(=N3)NC(=O)C4=CC(=CC=C4)Cl;705.62
135410503;CC1=C(C(N2C(=NC=N2)N1)C3=CC=CN3)C(=O)NC4=CC=CC=C4;80
16031361;COC1=CC=C(C=C1)CNC(=O)CN2C(=O)C=C3CCCCC3=N2;40.62
4705986;CN(C)CCCN1C(C2=C(C1=O)OC3=C(C2=O)C=C(C=C3)Cl)C4=CC(=C(C=C4)OC)OC;235.42
16033099;CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C3=C(C=C(C=C3)NC(=O)C4=CC=C(C=C4)F)C(=O)O;156.18
16033131;CC1=CC(=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCCCC4)C(=O)O;5.2
4190676;CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)OC)NCC4=CC=C(C=C4)N(C)C;58.54
5162647;C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=CC=C5Cl)Cl;175.86
1511198;CC1=C(C=C(C=C1)C2=NN3C(=NN=C3C4=CC=CC=C42)C)S(=O)(=O)NC;146.44
9893924;C1=CC(=C(C=C1CN(CCCNC(=S)NCCCC2=CN=CN2)C3=NC=C(C=C3)Br)Cl)Cl;14
7547;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl;240
6165447;C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)C(=O)N;7.99
5329102;CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C;234.73
9860529;C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3;294.22
2377964;CN1C(=NN=N1)SC2=NC=NC3=C2C=CS3;67.58
2161;CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N;9.71
122077;C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl;21.49
60196365;C1CN(CCN1CCOCC(=O)N)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl;358.7
5311;C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO;63.36
11219835;C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F;110.63
24871224;CC[C@H]1CN2CCC3CC(C(CC3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)CC(=C(C5)OC)O)OC)OC;152.85
25109905;C1=CC=C(C=C1)CCN2C=CC3=C(C2=N)C(C4=C(O3)C=CC5=CC=CC=C54)C6=CC=CC=C6;552.54
25181364;C1=CNC(=O)C(=C1C2=CC=NC=C2)N;3.1
25181365;C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N;612.64
25181366;CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N;115.69
25181367;CN(C)C(=O)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N;12.06
24180125;C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5;239
2515;CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC;10.73
44142148;CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C;93.94
2921716;CCC(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-];36.3
71900;CC1=NC(=CN1C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-];27.89
