MOLECULE_NAME,SMILES,Label
2374148,COC1=CC=C(C=C1)OCC2=NNC(=S)N2N,10.85
9563176,CC(C)C1=CC=C(C=C1)/C=N/NC(=O)CC(=O)NC2CCCCC2,0.2
9614794,C/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC(=CC=C3)OC(F)F,0.2
2731492,CC1=CC(=NC(=C1)NC(=S)NC2=CC(=CC=C2)OC)C,0.3
6407663,C1=CC=C2C(=C1)C(=O)N=C3N2NN=C3C4=CC(=CC=C4)Br,0.3
791078,CCC1=C(N=C(C(=C1C2=CC=CC=C2)C#N)N)C,0.3
960733,CC1=C(C=C(C=C1)N2N=C3C=CC(=CC3=N2)N)Cl,0.3
239525,C1=CC=C(C=C1)NC(=O)NC2=CC=CC3=CC=CC=C32,0.3
2738836,C1=CC(=CC(=C1)Cl)NC(=O)NCC2=CSC(=N2)C3=CC=CS3,0.3
135439774,COC1=CC=C(C=C1)C2=CN=NC(=N2)N/N=C/C3=CC=C(C=C3)O,0.3
3822759,CN(C)C1=CC(=C(C2=NON=C12)[N+](=O)[O-])NC3=CC(=CC=C3)O,0.4
2811843,CC1=CC=C(C=C1)CC2=CC(=NNC2=O)C3=CC=C(C=C3)C,0.4
3439528,C1=CC(=CC=C1C(=O)NC2=NC(=NC=C2)C3=CC=NC=C3)F,0.4
2740105,C1CCN(C1)C2=NSC(=C2C#N)C3=CC=CC=C3,0.4
702340,CC1=CC(=C2C(=C1)SC(=N2)NC(=O)C3=CC=CO3)C,0.4
6498387,C1COC2=C(O1)C=CC(=C2)N3C(=C(N=N3)C(=O)NC4=CC=CC=C4)N,0.4
1505193,C1=CC=C(C=C1)COC(=O)C2=NN(N=C2N)C3=CC=CC=C3,0.4
3426066,C1CN(CCN1C2=CC(=CC=C2)Cl)C3=NC=C(C=C3)[N+](=O)[O-],0.4
817359,CC(=O)C1=CC=C(C=C1)NC(=S)NC(=O)CC2=CC=C(C=C2)Cl,0.4
7920318,CCCCC1=NN=C(S1)NC(=O)C2=C(C3=CC=CC=C3O2)C,0.4
2805330,C1=CC2=C(C=C1Br)C=C(O2)C3=CC=NN3,0.5
1090755,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC=C(O2)C3=CC=CC=C3Cl,0.5
1490541,CC1=CC=CC=C1CNC2=NC=NC3=C2C=CC(=C3)Cl,0.5
3142664,CC1=CC=CC=C1NC(=S)NC(=O)CC2=CC=C(C=C2)Cl,0.5
9635666,CC(=O)/C(=N/NC1=CC=C(C=C1)[N+](=O)[O-])/N2CCCC3=CC=CC=C32,0.5
2091523,CSC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=CC=CC=N3,0.5
973728,CCN(CC)C(=O)CSC1=C(C=CC(=N1)C2=CC=CC=C2)C#N,0.6
1602394,C1=CC=C2C(=C1)C3=C(S2)C=CC4=C3C(=O)C(=O)N4,0.6
3690200,CC(=O)C1=[N+](C2=CC=CC=C2N=C1COC(=O)C3=CC=C(C=C3)Cl)[O-],0.6
6900529,CN1C=CC=C1C2=NNC(=C2)C(=O)N/N=C/C3=CC=C(C=C3)Cl,0.6
135706251,C/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC=C(C=C3)O,0.6
5343182,COC1=CC=C(C=C1)C/C(=N/OC(=O)C2=CC=C(C=C2)Cl)/N,0.6
3730758,CN1C2([N+](=C3C1=CC=CC=C3)C)/C(=[N+](\[O-])/[O-])/C=C(C=C2[N+](=O)[O-])[N+](=O)[O-],0.7
2809000,CCOC(=O)C1=C(N(N=C1)C2=NC=NC3=C2C=NN3C)N,0.7
24983170,C1=CC(=CC(=C1)Cl)C(=O)OCC(=O)NC2=CC3=C(C=C2)NC(=O)N3,0.8
3106491,CC1=NN(C(=O)C1N=NC2=CC=C(C=C2)Br)C(=S)N,0.8
6870346,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=CC=C(C=C3)Cl,0.8
6858628,COC1=C(C=C(C=C1)Br)/C=N/N2C(=NN=N2)N,0.8
9754354,CC/C(=N\NC1=NN=CC2=CC=CC=C21)/C3=CC=C(C=C3)F,0.8
2810518,CC(C)(C)C1=CC=C(C=C1)C2=NOC(=N2)C3=CC4=C(C=C3)OCC4,0.8
9115581,CC1=CC(=C(N1)C2=NC3=CC=CC=C3S2)C,0.8
135645326,C1=CC=C(C=C1)CC2C(=O)N/C(=N/N=C/C3=CC=C(C=C3)O)/S2,0.9
1485789,C1=CC(=CC=C1C2=NC=C(C=C2)C(=O)C3=CC=C(C=C3)F)F,0.9
250381,COC1=CC=C(C=C1)NN=NC2=CC=C(C=C2)[N+](=O)[O-],0.9
2820001,C1=COC(=C1)CS(=O)(=O)CC2=NC(=CS2)C3=CC=C(C=C3)Cl,0.9
19675102,CCC1=CC=C(C=C1)C(C)NC(=S)NCC2=CC=C(C=C2)F,1
398165,CCSC1=C(C2(CCCCC2)C3=C(N1)CC(CC3=O)(C)C)C#N,1
788928,COC1=CC(=C(C=C1)C(=O)NC2=NC3=CC=CC=C3S2)OC,1
4219209,C1CN(CCN1C2=CC=C(C=C2)F)C3=NC4=CC=CC=C4N=C3,1
2788380,C1C(OC2=CC=CC=C2O1)C(=O)NC3=CC=CC=C3[N+](=O)[O-],1
1019255,CC1=C(C(=CC=C1)NC(=O)C2=NC(=CC=C2)C(=O)NC3=CC=CC(=C3C)C)C,1.1
1316575,CCOC(=O)C1=CC=C(C=C1)NC(=S)N2CCN(CC2)C3=CC=CC=N3,1.2
4683230,CC1=C(C(=O)N(N1)C(=S)N)N=NC2=CC(=CC=C2)Cl,1.2
6905520,CCN=C1N(C(=CS1)C2=CC=C(C=C2)F)/N=C/C3=CC=CC=N3,1.2
6869472,C/C(=C\C1=CC=CC=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC=CN3C,1.2
24979310,CC(C(=O)NC1=CC=C(C=C1)F)OC(=O)CC2CCCCC2,1.2
135439782,C1=CC=C(C(=C1)C2=CC(=NO2)C(=O)NC3=CN=CC=C3)O,1.3
5296050,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)/C=C\C4=CC=C(C=C4)C#N,1.3
23410754,CC1=CC2=C(C=C1)OCC(=O)N2CC(=O)NC3=NC=CS3,1.3
1131192,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=NSN=C3C=C2,1.3
135533655,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=C(C(=CC(=C3)Br)Cl)O,1.3
1935420,CC(=O)OC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CO4,1.3
1485674,COC1=CC=CC2=C1C=C(C(=O)N2)C3=CC=CC=C3,1.4
3765920,CCSC1=NSC(=N1)NC(=O)NC2=CC=CC=C2F,1.4
2710792,CNC(=O)C1=CC=C(C=C1)NC(=O)/C=C/C2=CC(=CC=C2)F,1.4
2579010,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)OC(F)F)Cl,1.4
135520585,COC1=C(C=CC(=C1)/C=N/NC(=S)NC2CC3CC2C4C3CC=C4)O,1.4
832562,CC1=CC=C(C=C1)NC(=O)C(C)C(=O)NC2=CC=C(C=C2)C,1.5
886106,CC1=C(SC(=N1)NC(=O)/C=C/C2=CC=CC=C2Cl)C(=O)OC,1.5
3845662,CC1=C(C(=NN1)NC2=CC=C(C=C2)C(C)C)[N+](=O)[O-],1.6
4159955,C1CCC(CC1)NC(=O)NC2=NC3=CC=CC=C3N2,1.6
835337,COC1=CC=CC(=C1)C(=O)NC2=CC3=CC=CC=C3C=C2,1.6
2730060,C1CCN(C1)C2=NN(N=N2)CC3=C(C=CC=C3Cl)Cl,1.7
2816518,CC(=O)COC1=C(C(=C2CCC3=CC=CC=C3C2=N1)C4=CC=CO4)C#N,1.7
2094705,C1=CC=C2C(=C1)NC(=N2)NC(=O)C3=CC=C(C=C3)Cl,1.8
973002,CC1=C(C=CC(=C1)O)NC2=NC(=CS2)C3=CN=CC=C3,1.8
6213044,C1=CC=C2C=C(C=CC2=C1)C(=O)/C=C/C3=CC(=C(C=C3)O)[N+](=O)[O-],1.8
2816502,C1=CC=C(C=C1)C2=NC3=C(C(=C2)C4=CC=CO4)C(=C(O3)C(=O)NN)N,1.8
5022150,COC1=CC=C(C=C1)NC(=O)NC2=C(SN=C2SC)SC,1.8
2849603,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NC2=CC=CC=C2O,1.9
5334811,CC(C)(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC=CC=N2,1.9
2669855,C1CC1C2=NN=C(S2)NC(=O)C3=CC4=CC=CC=C4O3,10.1
3811303,CC1=CC(=NN1)C2=NN=C3N2N=C(CS3)C4=CC=C(C=C4)F,10.2
24818765,C1CCC(CC1)NC(=O)NNC(=O)C2=C(C3=CC=CC=C3C=C2)O,10.3
16745961,CS/C(=C\C(=O)C1=CC=CO1)/NC2=CC=CC=C2Cl,10.4
1395543,CC1(CC2=C(CO1)C(=NC3=C2C4=C(S3)C(=O)NC(=S)N4)C5=CC=CC=C5)C,10.5
6179462,C1=CC=C2C(=C1)C=CC(=N2)/C=C/C3=CC=CO3,10.7
138101,CC1=NN=C(O1)C2=CC=CC=C2,10.8
24746866,COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=C2N)OC.Cl,10.9
3133077,C1C(OC(=O)N1)COC2=CC=C(C=C2)C3=CC=C(C=C3)C#N,11.3
2805584,CC1SCC(=NOCC2=CC=CC=C2)CS1,11.5
9609700,CCOC(=O)N/N=C(\C)/C1=CC=CS1,11.5
24980777,CC1=CN=C(C=C1)NC(=O)CNC(=O)C2=CC(=CC=C2)Cl,11.7
725622,CC1=CC=C(C=C1)NC(=O)CCOC2=CC=CC=C2,11.7
729856,CC(C)C1=NN=C(S1)NC(=O)COC2=CC=CC=C2[N+](=O)[O-],11.9
1968103,CCOC(=O)C(=O)N(C1=CC=C(C=C1)C)NC2=CC=C(C=C2)C,11.9
4282910,CC1CCCCC1NC(=O)COC(=O)C2=C(C=CS2)C,12
2094784,CN(C)C1=CC=CC(=C1)C(=O)NC2=NC3=CC=CC=C3N2,12.1
1506499,COC1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)N=CC=C3,12.1
2324399,CC1=CSC(=N1)N2CCOCC2,12.1
1404043,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)N,12.2
3990423,CCCN1C2=NC3=C(C=CC=C3C=C2C(=N1)NC(=O)C4CCCO4)C,12.9
2382570,CCN(C1=CC=CC2=CC=CC=C21)C(=S)NCCOC,12.9
3905680,C1CCN(CC1)C(CC2=CC=CC=C2)C(=O)C3=CC=C(C=C3)F,13.1
2569417,CC1=CC(=C(O1)C)C(=O)OCC(=O)C2=C(C(=C(N2)C)C(=O)C)C,13.1
901057,C1=CC(=NC(=C1)Cl)NNS(=O)(=O)C2=CC=C(C=C2)Cl,13.3
596095,CCOC(=O)C1=C(NN=C1)C(F)(F)F,13.4
2393325,CCC1=CC=C(C=C1)NC(=S)NC2=CC3=C(C=C2)NC(=O)N3,13.5
7521164,CCOC(=O)C1=C(C(=C(S1)NC(=O)C2=COCCO2)C#N)C,13.5
16549209,CC1=CC=C(S1)C(=O)NC2=C(C=CC(=C2)Cl)N3C=NC=N3,13.6
24685979,CC(C(=O)NC1=C(C(=C(C=C1)F)F)F)N(C)CC2=CC=CS2,13.6
958579,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=C(C=C(C=C3)F)F,14
774,C1=C(NC=N1)CCN,14.1
2971089,C1CC2=C(C1)C=C(C=C2)OCC(=O)NC3=CC=CC=N3,14.2
16316508,CC(C(=O)NC1CCCC2=CC=CC=C12)NC(=O)C3=CC=CC=C3,14.7
6150985,C/C(=N/NC(=O)C(C1=CC=NC=C1)N2CCOCC2)/C3=CC=C(C=C3)OC,14.8
2572085,CC1=CC=C(C=C1)OCCC(=O)NC2=CC3=C(C=C2)OCO3,14.8
